COURSE,DESTINATION,DWT,ELAPSED,FLAG,GT_SHIPTYPE,HEADING,LAT,LENGTH,LON,L_FORE,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,SPEED,STATUS_NAME,TYPE_IMG,TYPE_NAME,WIDTH,W_LEFT
89,FOR,74602,882,MH,17,94,22.98003,228,62.743225,190,9,ADVANTAGE PARADISE,8,755106,118,,,,32,7
86,,,76,,,,23.051666,,65.691666,,,[SAT-AIS],8,TmpJd016RTROakl3TXpFNE5qSXdNdz09LWRtMGlzSUpFT2M1MkFtSDhHYmcrb0E9PQ==,120,Underway using Engine,8,Tanker,,
2,PK KHI,73774,45,MH,71,,24.100508,228,66.777267,199,,VOULA,8,728301,95,,,,32,22
4,AEFJR,73701,357,DK,71,359,23.158001,229,60.434734,200,,TORM VENTURE,8,313043,71,,,,32,8
65,"MUNDRA,INDIA",73400,186,MH,17,,21.362829,228,67.377075,183,,CAPOEIRA,8,757955,120,,,,32,9
290,AEFJR,73334,334,LR,17,288,22.520256,228,62.189785,200,0,MAISTROS,8,754448,121,,,,32,16
39,JABEL ALI UAE,73289,83,LR,17,42,26.544003,228,51.037495,185,0,MELTEMI,8,754446,120,,,,32,19
303,IR BND,72600,34,IR,6,228,25.408953,225,57.688492,189,,ARVIN,7,1151138,8,,,,32,16
200,SHUAIBA,72493,31,PA,6,291,29.283567,225,49.267139,193,0,MDL KAMRAN,7,150508,0,,,,32,21
282,AE DXB,71997,131,PA,18,,22.12463,297,66.543182,239,,SOHAR LNG,8,420313,153,,,,45,46
321,BASRAH,69629,28,PW,17,324,26.731537,228,52.902294,194,0,PIONEER SAM,8,711812,113,,,,32,18
105,AEJAL>INLT4,69193,100,HK,11,,24.774105,249,59.817719,190,,MAERSK CUBANGO,7,686078,120,,,,37,27
279,SADMM,68142,30,LR,11,280,25.428167,274,54.412914,180,-3,TONSBERG,7,757459,170,,,,40,10
305,AEJEA,67039,30,CN,11,,25.208094,255,57.992271,199,,XIN HANG ZHOU,7,650216,128,,,,37,13
107,PKKHI,66940,30,SG,11,,24.837351,280,66.977654,206,,ARAYA BHUM,7,461595,0,,,,40,28
241,QAHMD>SADMN,63732,30,PA,6,347,26.607918,199,50.28717,171,,AFRICAN FALCON,7,8919704,0,,,,32,20
274,RAS AL.KHAIR,63610,321,MT,6,265,24.687639,199,62.844105,170,0,KIRAN ISTANBUL,7,2890,126,,,,32,12
229,SOHAR,63606,34,MH,6,328,24.494343,199,56.625965,169,,CLIPPER TERESA,7,5313165,0,,,,32,12
301,SA JUB,63600,780,MH,6,,21.096983,199,66.509956,179,,YASA MOON,7,9312870,108,,,,32,10
287,,,76,,,,22.311666,,64.791664,,,[SAT-AIS],7,T1RnME1EZzFPVGcwTURnMU9UZzBNQT09LTM5eWZ2NnFqTmU1VGovZE1aNlQvSUE9PQ==,120,Underway using Engine,7,Cargo Vessel,,
,BHSIT,63403,31,PT,6,320,26.159092,199,50.672379,171,0,APEX,7,4233588,0,,,,32,7
229,QASIM,63268,260,HK,6,231,23.525438,199,65.515228,171,-3,BBG FOREVER,7,5592536,95,,,,32,10
286,IDHZA,61424,31,LR,6,,21.594507,199,65.831604,171,,ARYA,7,1043817,106,,,,32,10
184,JUBAIL,61250,43,HK,9,,27.459181,199,52.641628,185,,TAI XING,7,6878565,580,,,,32,14
191,KE MBA,60155,32,MH,6,,20.742388,199,59.507282,170,,ANTE TOPIC,7,4515522,83,,,,32,9
126,PARADIP,58682,113,SG,6,,22.198706,197,61.938919,169,,PROPEL GLORY,7,384795,91,,,,32,14
257,RAS LAFFAN,58265,29,PA,19,258,26.227184,229,53.647839,187,0,PERTAMINA GAS DAHLIA,8,8731290,121,,,,37,19
,AERUW,57369,37,LR,6,316,24.132854,190,52.780155,159,0,ABU AL ABYAD,7,755084,0,,,,32,12
302,INPAV,56719,790,PA,6,,21.705772,189,66.777466,160,,SINGAPORE BULKER,7,732753,90,,,,32,12
314,SA DMN,56562,28,KN,6,314,25.571472,190,53.923687,161,0,NEPTUNE MARINE,7,732649,105,,,,32,14
253,OM SLL,56539,259,MH,6,238,23.21722,189,63.409546,0,0,XIN HAI TONG 37,7,713523,79,,,,32,0
245,,,187,,,,23.147449,,63.23214,,,[SAT-AIS],7,TVRnNU16WTVNVGc1TXpZNU1UZzVNdz09LVBpTVdsV05NeEJmR240cFpJSzJqYXc9PQ==,86,Underway using Engine,7,Cargo Vessel,,
254,IQ UQR,55623,28,PA,6,253,26.387428,189,55.601913,166,0,PVT DIAMOND,7,5829759,100,,,,32,19
